record_id,customer_id,account_balance,customer_segment,customer_lifecycle_stage,customer_satisfaction_score,customer_churn_probability,customer_transaction_count,customer_transaction_value,product_id,product_name,product_type,product_recommendation,product_recommendation_status,product_recommendation_date,recommendation_score,product_sales_amount,product_sales_date,customer_name,customer_email
FPR-00001,CUST-C0038,8253.49,Institutional,At Risk,2.1287,0.025416,66,195641.84,PROD-FS-001,Wealth Advisory,Insurance,Term Life,Pending,2024-10-01,0.859575,2656.88,,Persona Customer 1,customer1@example.com
FPR-00002,CUST-C0026,1683.22,High Net Worth,Churned,1.9967,0.784669,355,66399.56,PROD-FS-002,Rewards Credit Card,Advisory,Term Life,Rejected,2025-11-18,0.962572,19771.07,,Persona Customer 2,customer2@example.com
FPR-00003,CUST-C0095,44725.12,High Net Worth,Onboarding,1.7709,0.094097,239,50284.09,PROD-FS-003,Rewards Credit Card,Deposit,Rewards Credit Card,Declined,2024-03-17,0.942387,801.95,,Persona Customer 3,customer3@example.com
FPR-00004,CUST-C0027,30056.13,Corporate,Mature,4.4783,0.555888,2,162383.55,PROD-FS-004,Term Life,Insurance,Premium Savings,Accepted,2024-11-19,0.988904,17116.22,2024-12-21,Persona Customer 4,customer4@example.com
FPR-00005,CUST-C0248,12130.93,High Net Worth,Churned,4.268,0.199473,474,70998.75,PROD-FS-005,Term Life,Insurance,Rewards Credit Card,Open,2024-06-27,0.414663,656.53,,Persona Customer 5,customer5@example.com
FPR-00006,CUST-C0226,23939.94,Retail,Growth,1.3011,0.650328,402,142540.02,PROD-FS-006,Rewards Credit Card,Deposit,Term Life,Open,2024-02-20,0.757894,4564.33,,Persona Customer 6,customer6@example.com
FPR-00007,CUST-C0093,30712.9,Corporate,Growth,1.9304,0.889193,239,182138.34,PROD-FS-007,Auto Loan,Credit,Auto Loan,Open,2024-12-19,0.207876,6352.92,,Persona Customer 7,customer7@example.com
FPR-00008,CUST-C0149,67997.16,Small Business,Churned,1.0667,0.326806,365,174648.85,PROD-FS-008,Term Life,Credit,Rewards Credit Card,Accepted,2025-02-07,0.555989,6078.87,2025-03-25,Persona Customer 8,customer8@example.com
FPR-00009,CUST-C0056,53386.65,Retail,Onboarding,2.025,0.473178,467,110240.04,PROD-FS-009,Auto Loan,Advisory,Term Life,Accepted,2025-08-25,0.889668,16790.34,2025-09-02,Persona Customer 9,customer9@example.com
FPR-00010,CUST-C0230,28077.55,High Net Worth,At Risk,3.6379,0.434384,396,105831.77,PROD-FS-010,Term Life,Lending,Rewards Credit Card,Rejected,2025-05-11,0.166651,2967.82,,Persona Customer 10,customer10@example.com
FPR-00011,CUST-C0120,62740.48,Retail,Mature,3.7861,0.569896,78,106583.85,PROD-FS-011,Auto Loan,Credit,Wealth Advisory,Approved,2025-09-23,0.645608,3687.75,2025-10-17,Persona Customer 11,customer11@example.com
FPR-00012,CUST-C0220,94655.16,Corporate,Growth,2.3945,0.507742,456,81560.21,PROD-FS-012,Rewards Credit Card,Lending,Term Life,Approved,2025-06-30,0.454948,18564.56,2025-07-04,Persona Customer 12,customer12@example.com
FPR-00013,CUST-C0231,79238.72,Corporate,At Risk,3.9958,0.42192,481,68310.19,PROD-FS-013,Premium Savings,Lending,Wealth Advisory,Rejected,2025-03-29,0.131075,9638.68,,Persona Customer 13,customer13@example.com
FPR-00014,CUST-C0165,93286.14,Small Business,Mature,2.643,0.504195,400,42564.16,PROD-FS-014,Wealth Advisory,Lending,Term Life,Open,2024-08-12,0.697843,15350.74,,Persona Customer 14,customer14@example.com
FPR-00015,CUST-C0211,77193.88,High Net Worth,Churned,3.0862,0.574183,55,172506.48,PROD-FS-015,Auto Loan,Credit,Term Life,Rejected,2024-05-04,0.336768,15701.08,,Persona Customer 15,customer15@example.com
FPR-00016,CUST-C0142,70132.77,High Net Worth,Churned,4.3724,0.011339,394,68116.5,PROD-FS-016,Premium Savings,Insurance,Wealth Advisory,Pending,2025-10-08,0.02566,4531.46,,Persona Customer 16,customer16@example.com
FPR-00017,CUST-C0104,92792.1,High Net Worth,At Risk,1.8249,0.221602,412,37720.32,PROD-FS-017,Term Life,Advisory,Auto Loan,Accepted,2024-03-24,0.577509,10045.42,2024-04-03,Persona Customer 17,customer17@example.com
FPR-00018,CUST-C0055,32171.56,Retail,Onboarding,4.1751,0.761872,499,83149.62,PROD-FS-018,Auto Loan,Lending,Wealth Advisory,Open,2025-11-22,0.879389,17805.03,,Persona Customer 18,customer18@example.com
FPR-00019,CUST-C0186,1472.76,Corporate,Onboarding,4.4127,0.844987,488,120679.31,PROD-FS-019,Premium Savings,Advisory,Term Life,Rejected,2024-11-13,0.286333,15153.47,,Persona Customer 19,customer19@example.com
FPR-00020,CUST-C0041,70736.54,Retail,Onboarding,1.8799,0.531324,18,39924.17,PROD-FS-020,Term Life,Insurance,Auto Loan,Rejected,2025-11-18,0.857546,3996.27,,Persona Customer 20,customer20@example.com
FPR-00021,CUST-C0010,57524.21,Corporate,At Risk,2.6751,0.282946,78,44931.16,PROD-FS-021,Wealth Advisory,Advisory,Wealth Advisory,Rejected,2024-11-14,0.776228,6996.4,,Persona Customer 21,customer21@example.com
FPR-00022,CUST-C0088,81389.81,Institutional,Onboarding,3.9302,0.442967,313,193190.87,PROD-FS-022,Premium Savings,Credit,Premium Savings,Declined,2025-03-05,0.731478,10031.62,,Persona Customer 22,customer22@example.com
FPR-00023,CUST-C0164,96931.24,High Net Worth,Onboarding,2.7377,0.358628,453,115252.74,PROD-FS-023,Term Life,Lending,Term Life,Pending,2025-06-17,0.960918,3682.91,,Persona Customer 23,customer23@example.com
FPR-00024,CUST-C0030,83809.92,Corporate,Mature,1.6813,0.610052,89,135413.79,PROD-FS-024,Term Life,Deposit,Wealth Advisory,Rejected,2025-07-16,0.266044,8755.93,,Persona Customer 24,customer24@example.com
FPR-00025,CUST-C0031,52230.1,Corporate,Mature,4.4884,0.177373,267,81369.57,PROD-FS-025,Term Life,Deposit,Premium Savings,Accepted,2024-03-11,0.695372,9980.24,2024-03-28,Persona Customer 25,customer25@example.com
FPR-00026,CUST-C0167,6797.68,Retail,Growth,3.6234,0.32665,68,112841.97,PROD-FS-026,Term Life,Insurance,Auto Loan,Open,2024-06-14,0.721433,188.19,,Persona Customer 26,customer26@example.com
FPR-00027,CUST-C0244,92536.43,Institutional,Onboarding,3.0846,0.689012,256,126364.68,PROD-FS-027,Rewards Credit Card,Lending,Rewards Credit Card,Pending,2024-06-24,0.564149,2373.52,,Persona Customer 27,customer27@example.com
FPR-00028,CUST-C0219,53453.36,Small Business,Onboarding,3.9187,0.039413,332,141012.06,PROD-FS-028,Term Life,Credit,Wealth Advisory,Declined,2025-08-10,0.262053,9115.73,,Persona Customer 28,customer28@example.com
FPR-00029,CUST-C0097,71887.47,Small Business,Growth,4.7169,0.877388,371,181570.71,PROD-FS-029,Premium Savings,Credit,Premium Savings,Rejected,2024-09-05,0.420056,12135.45,,Persona Customer 29,customer29@example.com
FPR-00030,CUST-C0024,32744.2,High Net Worth,Mature,2.6093,0.026272,52,187867.25,PROD-FS-030,Rewards Credit Card,Deposit,Premium Savings,Declined,2025-02-08,0.209199,17171.02,,Persona Customer 30,customer30@example.com
FPR-00031,CUST-C0201,91261.08,Corporate,Churned,1.2161,0.889218,269,185220.19,PROD-FS-031,Term Life,Credit,Term Life,Approved,2025-10-29,0.787582,10402.66,2025-11-10,Persona Customer 31,customer31@example.com
