id,funded_amnt,term,int_rate,grade,sub_grade,annual_inc,dti,home_ownership,addr_state,purpose,loan_status,delinq_2yrs,pub_rec,pub_rec_bankruptcies,revol_util,open_acc,total_acc,verification_status,issue_d,social_security_number,ssn,ssnumber,ssnumber1,drivers_license,dl,member_id,emp_title,title,c_desc,zip_code,c_url
1,33857.73, 60 months,10.68%,C,C2,59006.19,15.1,OWN,PA,moving,Charged Off,0,1,2,40.81%,26,14,Verified,Jun-08,100000000,100000000,100000000,900000000,DL500000,DL500000,MEMBER-1,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,481,https://example.com/loan/1
2,4049.57, 36 months,23.53%,E,E5,102108.67,14.41,OWN,TX,major_purchase,Fully Paid,0,1,NA,0.32%,10,20,Source Verified,Aug-13,100000001,100000001,100000001,900000001,DL500001,DL500001,MEMBER-2,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,305,https://example.com/loan/2
3,22953.58, 36 months,6.48%,G,G3,190416.16,13.85,OTHER,OH,credit_card,Charged Off,2,0,1,19.6%,27,48,Source Verified,Jul-11,100000002,100000002,100000002,900000002,DL500002,DL500002,MEMBER-3,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,266,https://example.com/loan/3
4,11592.53, 36 months,10.08%,E,E5,20290.56,2.62,RENT,IL,home_improvement,Fully Paid,2,3,NA,58.68%,28,30,Verified,Jul-09,100000003,100000003,100000003,900000003,DL500003,DL500003,MEMBER-4,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,476,https://example.com/loan/4
5,19016.17, 60 months,15.06%,F,F2,132916.97,23.21,MORTGAGE,PA,other,Charged Off,0,3,0,62.65%,3,46,Source Verified,Mar-13,100000004,100000004,100000004,900000004,DL500004,DL500004,MEMBER-5,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,298,https://example.com/loan/5
6,29801.4, 60 months,10.04%,G,G3,47780.72,6.07,NONE,FL,medical,Current,3,3,1,1.71%,18,14,Source Verified,Oct-12,100000005,100000005,100000005,900000005,DL500005,DL500005,MEMBER-6,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,978,https://example.com/loan/6
7,25888.52, 36 months,12.62%,G,G3,64570.7,25.53,NONE,CA,debt_consolidation,Current,4,1,1,7.7%,2,59,Not Verified,Jun-11,100000006,100000006,100000006,900000006,DL500006,DL500006,MEMBER-7,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,716,https://example.com/loan/7
8,780.97, 60 months,12.04%,D,D1,125549.21,14.93,RENT,IL,small_business,Current,1,2,NA,22.31%,15,30,Verified,Jul-10,100000007,100000007,100000007,900000007,DL500007,DL500007,MEMBER-8,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,378,https://example.com/loan/8
9,13924.55, 36 months,15.15%,E,E4,74152.84,24.22,OTHER,MI,credit_card,Current,3,1,1,12.61%,9,55,Source Verified,Aug-13,100000008,100000008,100000008,900000008,DL500008,DL500008,MEMBER-9,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,598,https://example.com/loan/9
10,25092.25, 60 months,13.67%,G,G1,179446.72,17.79,OWN,NC,educational,Fully Paid,3,1,0,30.88%,22,17,Not Verified,Oct-18,100000009,100000009,100000009,900000009,DL500009,DL500009,MEMBER-10,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,977,https://example.com/loan/10
11,7407.46, 60 months,22.16%,B,B4,121071.25,27.42,OTHER,NY,wedding,Charged Off,3,2,NA,23.44%,17,51,Source Verified,May-14,100000010,100000010,100000010,900000010,DL500010,DL500010,MEMBER-11,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,818,https://example.com/loan/11
12,29021.04, 36 months,15.33%,B,B4,150759.53,24.39,RENT,NC,moving,Charged Off,1,0,2,77.9%,18,34,Verified,Jul-09,100000011,100000011,100000011,900000011,DL500011,DL500011,MEMBER-12,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,644,https://example.com/loan/12
13,21200.65, 36 months,13.94%,F,F2,96105.84,12.48,RENT,MI,debt_consolidation,Current,0,3,0,32.24%,28,23,Source Verified,Feb-15,100000012,100000012,100000012,900000012,DL500012,DL500012,MEMBER-13,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,366,https://example.com/loan/13
14,3729.32, 36 months,18.15%,B,B1,171415.65,1.68,OTHER,OH,major_purchase,Current,1,1,0,33.7%,7,15,Verified,May-10,100000013,100000013,100000013,900000013,DL500013,DL500013,MEMBER-14,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,186,https://example.com/loan/14
15,30102.73, 36 months,9.81%,D,D5,186292.91,7.74,NONE,MI,house,Fully Paid,0,1,1,81.84%,30,18,Source Verified,Jan-18,100000014,100000014,100000014,900000014,DL500014,DL500014,MEMBER-15,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,724,https://example.com/loan/15
16,26862.73, 36 months,22.34%,G,G5,77864.07,22.19,NONE,TX,medical,Charged Off,0,1,1,95.8%,14,52,Source Verified,Jan-18,100000015,100000015,100000015,900000015,DL500015,DL500015,MEMBER-16,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,567,https://example.com/loan/16
17,11641.72, 36 months,8.16%,G,G5,132330.16,3.81,OWN,IL,house,Current,2,3,2,95.27%,25,59,Source Verified,Nov-14,100000016,100000016,100000016,900000016,DL500016,DL500016,MEMBER-17,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,871,https://example.com/loan/17
18,25300.8, 60 months,22.91%,E,E1,124978.18,13.98,RENT,CA,home_improvement,Current,2,3,1,83.31%,19,8,Not Verified,Apr-10,100000017,100000017,100000017,900000017,DL500017,DL500017,MEMBER-18,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,155,https://example.com/loan/18
19,10883.68, 60 months,9.44%,G,G2,121405.22,0.53,OWN,PA,credit_card,Charged Off,2,3,NA,60.69%,15,49,Not Verified,Apr-14,100000018,100000018,100000018,900000018,DL500018,DL500018,MEMBER-19,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,852,https://example.com/loan/19
20,9543.76, 36 months,12.74%,C,C2,124648.3,10.5,MORTGAGE,OH,wedding,Current,4,1,2,7.46%,2,23,Verified,Aug-16,100000019,100000019,100000019,900000019,DL500019,DL500019,MEMBER-20,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,820,https://example.com/loan/20
